SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500089,DIC INDIA   ,B ,Q,351.65,351.65,344.00,345.00,345.00,331.00,7,312,107624.00,
500092,CRISIL LTD  ,A ,Q,1555.50,1562.05,1524.00,1537.80,1537.80,1556.10,64,285,440815.00,
500093,CGPOWER     ,A ,Q,30.80,31.65,30.50,31.20,31.20,31.20,3507,2191841,68158002.00,
500096,DABUR (I)   ,A ,Q,431.00,435.95,425.45,434.20,434.20,426.65,755,48589,20981591.00,
500097,DALMIASUG   ,B ,Q,103.60,106.20,103.25,104.20,104.20,102.95,317,21789,2287926.00,
500101,ARVIND Ltd  ,A ,Q,77.05,77.25,74.10,75.00,75.00,77.25,2907,1020813,76190181.00,
500102,BALARPUR IND,B ,Q,3.46,3.60,3.46,3.60,3.60,3.50,122,210282,746640.00,
500103,BHEL        ,A ,Q,62.85,64.10,62.45,63.60,63.60,62.85,1366,431869,27428512.00,
500104,HIND.PETRO  ,A ,Q,223.15,232.30,223.15,230.40,230.40,222.60,2776,327919,75240004.00,
500106,IFCI LTD    ,A ,Q,12.44,12.82,12.40,12.71,12.71,12.42,574,248049,3148283.00,
500108,MAHA.TELE   ,B ,Q,13.90,13.90,13.20,13.39,13.39,13.89,520,191855,2595452.00,
500109,MRPL        ,A ,Q,64.00,64.25,62.50,62.90,62.90,63.85,1202,111878,7041621.00,
500110,CHENNAI PET.,A ,Q,218.90,220.00,212.80,214.25,214.25,216.80,593,43048,9260022.00,
500111,REL.CAP.    ,A ,Q,159.00,170.60,157.30,163.75,163.75,161.20,21918,2576450,427100743.00,
500112,STATE BANK  ,A ,Q,268.00,271.80,267.25,270.75,270.75,267.55,4936,667047,180319107.00,
500113,STEEL AUTH. ,A ,Q,48.95,49.40,48.50,49.25,49.25,48.95,1781,852006,41764654.00,
500114,TITAN       ,A ,Q,1045.00,1045.00,1031.70,1040.05,1035.25,1042.40,989,46148,47920593.00,
500116,IDBI BANK L ,A ,Q,44.80,44.80,43.05,43.20,43.20,45.00,2188,616434,26924757.00,
500117,DCW LTD.    ,B ,Q,14.40,16.70,14.30,16.05,16.35,14.35,421,78484,1223470.00,
500119,DHAMPUR SUGA,B ,Q,212.00,218.35,206.00,216.10,216.10,211.60,1467,115847,25043594.00,
500120,DIAMINES&CHM,X ,Q,82.25,89.95,81.90,88.65,89.95,85.70,116,5251,454488.00,
500123,ELANTAS     ,B ,Q,2201.50,2245.00,2160.00,2229.10,2235.00,2201.65,153,980,2173211.00,
500124,DR.REDDY'S  ,A ,Q,2614.80,2649.95,2558.00,2637.40,2637.40,2585.50,4209,66531,173927908.00,
500125,E.I.D.PAR   ,A ,Q,183.00,194.00,183.00,188.45,188.45,185.05,513,17798,3377244.00,
500126,MERCK LTD   ,B ,Q,2921.10,2967.90,2900.05,2904.90,2909.00,2923.00,292,1642,4791411.00,
500128,ELEC.CASTING,B ,Q,19.50,19.60,18.85,19.25,19.25,19.45,22,3217,62185.00,
500132,EMPEE SUGARS,XT,Q,1.03,1.03,1.00,1.00,1.00,1.05,4,1100,1101.00,
500133,ESAB INDIA  ,B ,Q,841.00,842.00,830.25,839.15,837.00,841.65,9,40,33561.00,
500135,ESSEL PROP  ,B ,Q,110.25,110.25,106.15,107.25,108.30,109.20,242,21935,2365759.00,
500136,ESTER INDUS.,B ,Q,30.05,31.40,30.05,31.30,31.30,30.05,61,8178,255371.00,
500141,FERRO ALLOYS,X ,Q,3.45,4.04,3.45,4.04,4.04,3.37,260,223071,888280.00,
500142,FGP LTD.    ,XT,Q,1.62,1.62,1.57,1.62,1.62,1.55,4,2050,3318.00,
500144,FINOL. CABLE,A ,Q,373.60,385.00,372.75,378.30,376.50,371.65,397,6648,2505037.00,
500147,CMI FPE     ,X ,Q,1198.95,1198.95,1149.10,1155.35,1155.50,1149.25,34,507,588465.00,
500148,UFLEX LTD   ,A ,Q,196.00,210.30,196.00,208.30,208.30,196.70,805,28801,5941104.00,
500151,GOLDEN TOB  ,T ,Q,33.50,33.50,33.50,33.50,33.50,35.20,1,50,1675.00,
500153,GANESH BENZO,X ,Q,42.40,42.90,40.65,41.45,41.45,41.55,133,31073,1303505.00,
500155,GARDEN SILK ,B ,Q,16.45,18.00,16.45,17.85,17.85,15.90,120,12182,213948.00,
500159,METROGLOBL  ,X ,Q,49.00,57.90,49.00,53.00,52.70,53.05,19,363,19262.00,
500160,GTL LTD.    ,T ,Q,4.81,4.85,4.57,4.77,4.85,4.62,57,28068,134517.00,
500163,GODFREY PH  ,A ,Q,888.80,940.00,886.25,925.40,928.00,894.80,817,21898,20075800.00,
500164,GODREJ IND  ,A ,Q,473.15,484.80,473.15,480.90,481.30,475.25,399,14876,7158041.00,
500165,KANSAI NERO ,A ,Q,433.10,445.95,433.10,442.80,445.00,434.10,167,1641,720607.00,
500166,GOODRICKE   ,X ,Q,225.25,227.00,216.00,222.20,222.20,220.80,146,7808,1744831.00,
500168,GOODYEAR (I),B ,Q,844.05,870.00,844.00,864.10,862.00,844.15,99,1312,1130230.00,
500171,GHCL LTD    ,A ,Q,222.50,226.20,219.60,222.20,223.90,223.85,279,5162,1148602.00,
500173,GUJ.FLOURO  ,A ,Q,850.10,883.00,850.00,877.20,875.00,850.85,349,4329,3745322.00,
500179,HCL INFOSYS ,B ,Q,18.50,20.70,18.00,20.20,20.20,18.30,941,235239,4711579.00,
500180,HDFC BANK   ,A ,Q,2120.00,2124.90,2089.10,2091.65,2091.65,2115.15,4782,240235,506603188.00,
500182,HEROMOTOCO  ,A ,Q,2640.75,2735.55,2629.95,2687.35,2687.35,2643.70,1663,30766,82390144.00,
500183,HIMACHAL FUT,A ,Q,21.65,22.30,21.65,21.80,21.80,21.75,733,377753,8270962.00,
500184,HSCL        ,A ,Q,101.40,108.50,99.60,104.95,104.95,99.80,1091,96965,10220584.00,
500185,HIND.CONSTN.,A ,Q,12.70,12.95,12.45,12.66,12.66,12.65,475,360424,4601288.00,
500186,HIND.OIL EXP,B ,Q,114.55,117.55,114.55,116.80,116.80,116.25,310,35249,4100842.00,
500187,HSIL        ,B ,Q,222.80,225.40,221.15,223.55,225.40,220.40,270,8289,1849761.00,
500188,HINDUS.ZI   ,A ,Q,256.80,261.60,253.50,259.75,259.75,255.35,645,34828,8980416.00,
500189,HINDUJA VENT,B ,Q,327.00,333.80,318.05,333.10,329.05,336.90,20,413,136915.00,
500191,HMT LTD.    ,Z ,Q,16.50,17.75,16.25,17.75,17.75,16.95,18,4805,83158.00,
500192,PRAG BOSIMI ,XT,Q,2.95,2.99,2.81,2.98,2.99,2.85,15,10621,31705.00,
500193,HOTEL LEELA.,B ,Q,11.79,11.88,11.41,11.51,11.66,11.69,287,157622,1830594.00,
500199,I.G.PETRO   ,B ,Q,251.80,257.50,244.15,247.35,247.35,257.10,455,12795,3210285.00,
500201,IND.GLYCOLS ,B ,Q,248.25,264.70,245.05,258.40,258.40,247.95,681,20883,5407778.00,
500207,INDO RAMA   ,T ,Q,34.40,34.45,34.40,34.45,34.45,34.55,8,2833,97546.00,
500209,INFOSYS LTD ,A ,Q,733.90,736.65,728.00,733.35,733.35,733.35,2919,191573,140618998.00,
500210,INGERSOLL   ,B ,Q,567.00,580.00,565.00,569.00,568.00,556.80,173,1814,1039823.00,
